character_name,constellation,stars
Zibai,C1,2
Zibai,C2,3
Zibai,C4,2
Mavuika,C1,2
Mavuika,C2,3
Mavuika,C4,2
Nefer,C1,3
Nefer,C2,2
Nefer,C4,2
Flins,C1,3
Flins,C2,2
Flins,C4,2
Varka,C1,2
Varka,C2,2
Varka,C6,3
Sandrone,C1,2
Sandrone,C2,3
Sandrone,C4,2
Skirk,C1,3
Skirk,C2,2
Skirk,C4,2
Columbina,C1,2
Columbina,C2,3
Columbina,C6,3
Ineffa,C1,3
Ineffa,C2,2
Ineffa,C4,2
Ineffa,C6,2
Lauma,C1,2
Lauma,C2,3
Lauma,C4,2
Linnea,C1,3
Linnea,C2,2
Linnea,C4,2
Furina,C2,3
Furina,C6,3
Escoffier,C1,3
Escoffier,C2,2
Escoffier,C4,2
Durin,C1,3
Durin,C2,2
Durin,C4,2
Nicole,C1,2
Nicole,C2,3
Nicole,C4,2
Bennett,C1,3
Iansan,C1,2
Iansan,C2,3
Iansan,C4,3
Iansan,C6,2
Citlali,C1,2
Citlali,C2,3
Citlali,C4,2
Varesa,C1,2
Varesa,C2,3
Varesa,C4,2
Kinich,C1,2
Kinich,C2,3
Kinich,C4,2
Arlecchino,C1,3
Arlecchino,C2,2
Arlecchino,C6,3
Mualani,C1,2
Mualani,C2,3
Mualani,C6,2
Lohen,C1,2
Lohen,C2,3
Lohen,C4,2
Venti,C1,2
Venti,C2,3
Venti,C6,2
Klee,C1,3
Klee,C2,3
Neuvillette,C1,3
Neuvillette,C4,2
Neuvillette,C6,3
Chasca,C1,2
Chasca,C2,3
Chasca,C4,2
Yelan,C1,3
Yelan,C2,2
Fischl,C1,2
Fischl,C6,3
Nahida,C2,3
Albedo,C2,3
Emilie,C1,3
Emilie,C2,3
Xingqiu,C2,2
Xingqiu,C6,3
Xiangling,C1,2
Xiangling,C4,3
Xilonen,C1,2
Xilonen,C2,3
Xilonen,C4,2
Sucrose,C1,2
Sucrose,C6,3
Chevreuse,C4,2
Chevreuse,C6,3
Mona,C1,3
Mona,C4,2
Kazuha,C1,2
Kazuha,C2,3
Xianyun,C2,3
Xianyun,C6,2
Baizhu,C1,2
Baizhu,C2,3
Baizhu,C6,3
Zhongli,C2,3
Zhongli,C4,2
Qiqi,C1,2
Qiqi,C6,3
Shenhe,C1,2
Shenhe,C2,3
Clorinde,C2,3
Clorinde,C6,3
Gaming,C1,2
Gaming,C4,2
Gaming,C6,3
Navia,C1,3
Navia,C2,2
Alhaitham,C1,3
Alhaitham,C2,2
Ayaka,C2,2
Ayaka,C4,3
Wriothesley,C4,2
Wriothesley,C1,3
Wriothesley,C6,3
Lyney,C2,3
Lyney,C4,2
Lyney,C6,3
Hu Tao,C1,3
Xiao,C1,2
Xiao,C6,3
Razor,C4,3
Yae Miko,C1,3
Yae Miko,C2,2
Raiden,C1,2
Raiden,C2,3
Nilou,C1,2
Nilou,C2,3
Shinobu,C2,2
Shinobu,C4,3
Ororon,C1,2
Ororon,C2,2
Ororon,C6,3
Prune,C2,3
Prune,C4,2
Prune,C4,3
Aino,C1,2
Aino,C2,2
Aino,C6,3
Chiori,C1,3
Chiori,C2,2
Chiori,C4,2
Jean,C2,2
Jean,C4,3
Kokomi,C1,2
Kokomi,C4,3
Yaoyao,C2,3
Yaoyao,C4,2
Yaoyao,C6,3
Lan Yan,C2,2
Lan Yan,C4,2
Lan Yan,C6,3
Layla,C2,3
Layla,C4,2
Illuga,C1,2
Illuga,C2,3
Illuga,C6,3
Cyno,C1,2
Cyno,C2,3
Tartaglia,C1,2
Tartaglia,C6,2
Wanderer,C2,2
Wanderer,C6,3
Yoimiya,C1,2
Yoimiya,C2,3
Diluc,C1,2
Diluc,C2,3
Itto,C1,2
Itto,C2,3
Ayato,C2,3
Ayato,C4,2
Ganyu,C1,3
Ganyu,C4,2
Tighnari,C2,3
Tighnari,C4,2
Rosaria,C2,3
Rosaria,C6,2
Thoma,C4,2
Thoma,C6,3
Beidou,C2,3
Beidou,C6,2
Collei,C1,2
Collei,C2,3
Jahoda,C2,2
Jahoda,C4,2
Jahoda,C6,3
Lynette,C2,2
Lynette,C4,2
Lynette,C6,3
Kaeya,C1,2
Kaeya,C2,3
Sigewinne,C1,3
Sigewinne,C2,2
Diona,C1,2
Diona,C2,2
Diona,C6,3
Faruzan,C2,2
Faruzan,C6,3
Yun Jin,C2,2
Yun Jin,C6,3
Gorou,C4,3
Gorou,C6,2
Charlotte,C2,2
Charlotte,C1,3
Charlotte,C6,3
Kirara,C2,2
Kirara,C4,2
Kirara,C6,3
Dehya,C1,2
Dehya,C4,3
Sara,C2,3
Sara,C6,3
Sethos,C2,3
Sethos,C6,3
Ifa,C2,3
Ifa,C4,2
Ifa,C6,2
Mizuki,C1,2
Mizuki,C2,3
Mizuki,C4,2
Keqing,C4,2
Noelle,C6,3
Eula,C1,3
Eula,C3,2
Yanfei,C1,3
Yanfei,C4,2
Yanfei,C6,3
Heizou,C1,3
Heizou,C2,2
Heizou,C6,3
Kachina,C2,3
Kachina,C4,2
Kachina,C6,2
Lisa,C1,3
Lisa,C4,2
Chongyun,C2,3
Chongyun,C6,2
Sayu,C1,3
Sayu,C6,3
Mika,C1,2
Mika,C6,3
Dahlia,C1,2
Dahlia,C2,3
Dahlia,C4,2
Dahlia,C6,3
Barbara,C2,2
Barbara,C6,3
Candace,C2,2
Candace,C6,3
Kaveh,C1,3
Kaveh,C2,2
Freminet,C2,2
Freminet,C6,3
Ningguang,C2,3
Ningguang,C6,2
Xinyan,C2,3
Xinyan,C4,2
Amber,C2,2
Amber,C4,3
Dori,C2,1
Dori,C4,3
Dori,C6,3
