character_name,role,tier,character_url
Zibai,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/570263
Mavuika,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/461999
Nefer,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/538448
Flins,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/538451
Varka,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/314346
Sandrone,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/382107
Skirk,Main DPS,SS,https://game8.co/games/Genshin-Impact/archives/333140
Columbina,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/382106
Ineffa,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/531360
Lauma,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/538066
Linnea,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/551088
Furina,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/Furina-Best-Builds
Escoffier,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/385307
Durin,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/462478
Mavuika,Sub-DPS,SS,https://game8.co/games/Genshin-Impact/archives/461999
Columbina,Support,SS,https://game8.co/games/Genshin-Impact/archives/382106
Furina,Support,SS,https://game8.co/games/Genshin-Impact/archives/Furina-Best-Builds
Lauma,Support,SS,https://game8.co/games/Genshin-Impact/archives/538066
Nicole,Support,SS,https://game8.co/games/Genshin-Impact/archives/406932
Linnea,Support,SS,https://game8.co/games/Genshin-Impact/archives/551088
Bennett,Support,SS,https://game8.co/games/Genshin-Impact/archives/Bennett-Best-Builds
Iansan,Support,SS,https://game8.co/games/Genshin-Impact/archives/345881
Citlali,Support,SS,https://game8.co/games/Genshin-Impact/archives/461989
Ineffa,Support,SS,https://game8.co/games/Genshin-Impact/archives/531360
Varesa,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/500244
Kinich,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/461991
Arlecchino,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/382103
Mualani,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/461994
Lohen,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/580697
Venti,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/Venti-Best-Builds
Klee,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/297521
Neuvillette,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/Neuvillette-Best-Builds
Chasca,Main DPS,S,https://game8.co/games/Genshin-Impact/archives/462001
Yelan,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/372781
Fischl,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/297524
Nahida,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/Nahida-Best-Builds
Albedo,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/312182
Emilie,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/422493
Xingqiu,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/297531
Xiangling,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/297530
Venti,Sub-DPS,S,https://game8.co/games/Genshin-Impact/archives/Venti-Best-Builds
Xilonen,Support,S,https://game8.co/games/Genshin-Impact/archives/461997
Escoffier,Support,S,https://game8.co/games/Genshin-Impact/archives/385307
Sucrose,Support,S,https://game8.co/games/Genshin-Impact/archives/297525
Chevreuse,Support,S,https://game8.co/games/Genshin-Impact/archives/426201
Nahida,Support,S,https://game8.co/games/Genshin-Impact/archives/Nahida-Best-Builds
Mona,Support,S,https://game8.co/games/Genshin-Impact/archives/Mona-Best-Builds
Kazuha,Support,S,https://game8.co/games/Genshin-Impact/archives/332826
Xianyun,Support,S,https://game8.co/games/Genshin-Impact/archives/Xianyun-Best-Builds
Baizhu,Support,S,https://game8.co/games/Genshin-Impact/archives/314348
Zhongli,Support,S,https://game8.co/games/Genshin-Impact/archives/305858
Qiqi,Support,S,https://game8.co/games/Genshin-Impact/archives/297533
Shenhe,Support,S,https://game8.co/games/Genshin-Impact/archives/346620
Clorinde,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/417218
Gaming,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/Gaming-Best-Builds
Navia,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/417194
Alhaitham,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/383712
Ayaka,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/315215
Wriothesley,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/Wriothesley-Best-Builds
Lyney,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/345540
Hu Tao,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/314347
Xiao,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/297527
Razor,Main DPS,A,https://game8.co/games/Genshin-Impact/archives/297519
Yae Miko,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/327533
Raiden,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/337161
Nilou,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/383715
Shinobu,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/346199
Ororon,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/461993
Mona,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/Mona-Best-Builds
Prune,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/590328
Sucrose,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/297525
Aino,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/537903
Chiori,Sub-DPS,A,https://game8.co/games/Genshin-Impact/archives/382793
Prune,Support,A,https://game8.co/games/Genshin-Impact/archives/590328
